ticker,entry_date,entry_price,exit_date,exit_price,shares,pnl,pnl_pct,holding_days,exit_reason
WOSG.L,2021-08-06,1007.01,2022-01-21,1219.87,17,3598.62,21.1,168,REGIME_OFF_10W
HTRO.ST,2021-09-24,56.48,2022-01-21,73.63,157,2672.39,30.4,119,REGIME_OFF_10W
TPE.DE,2021-10-01,36.13,2022-01-21,33.33,325,-929.11,-7.7,112,REGIME_OFF_10W
HDD.DE,2021-12-10,2.77,2022-01-21,2.63,6024,-875.26,-5.1,42,REGIME_OFF_10W
DIE.BR,2021-12-10,176.28,2022-01-21,159.3,108,-1853.57,-9.6,42,REGIME_OFF_10W
ZIG.L,2022-01-14,424.11,2022-01-21,410.44,40,-566.9,-3.2,7,REGIME_OFF_10W
INVP.L,2022-01-14,403.05,2022-02-25,386.91,42,-697.73,-4.0,42,REGIME_OFF_10W
FUR.AS,2022-12-09,14.15,2022-12-23,11.3,1184,-3391.09,-20.1,14,HARD_STOP
ATC.WA,2022-12-09,21.76,2022-12-30,19.5,770,-1757.31,-10.4,21,REGIME_OFF_10W
AIXA.DE,2022-12-09,30.81,2022-12-30,26.84,543,-2180.14,-12.9,21,HARD_STOP
SBO.VI,2022-12-23,59.8,2022-12-30,57.91,271,-531.78,-3.2,7,REGIME_OFF_10W
ORNBV.HE,2023-01-13,52.96,2023-02-10,44.08,318,-2845.43,-16.8,28,HARD_STOP
INVP.L,2022-12-09,479.79,2023-03-17,437.8,34,-1447.56,-8.8,98,BELOW_30W_SMA
MTRS.ST,2023-01-13,103.21,2023-03-24,87.26,163,-2620.18,-15.5,70,HARD_STOP
